nom_produit,prix,imageurl,subcategory,subsubcategory,shortdesc,largedesc
Sac de frappe plein Métal Boxe Noir 1.20M,"166,66 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29241469.jpg?frz-v=95,"Aménagement Dojo, Salles de Boxe, Rings","Sacs de frappe, Potences",Sac de frappe plein Métal Boxe Noir 1.20M,"Enveloppe PU STRONG, intérieur coton contre collé, fermeture par oeillets et laçage. Attache par chaînes, anneau et tourillon. Remplissage homogène avec des chutes de tissus.Sangle d'accroche à l'embase du sac pour éviter le balancement de celui-ci. La qualité de remplissage garanti la protection de vos mains et la qualité de vos entraînements. | Poids : 90 cm = 25 kg / 120 cm = 35 kg / 150 cm = 40 kg / 180 cm = 50 kg | Hauteur : de 90 à 180 cm | DIamètre : 35 cm: | Qualité : PU IMP"
Casque intégral Métal Boxe Noir,"43,00 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29241467.jpg?frz-v=95,Protections Boxe et Arts Martiaux,Casques de Boxe,"Casque intégral de Métal Boxe, de couleur noire, pour une protection maximale de votre visage lors de la...","Casque intégral avec protège pommettes et mentonnière pour une protection maximale. | Enveloppe PU et rembourrage mousse injectée pour un maximum de confort. | La coupe assure un champ de vision à 180°, exceptionnel pour un casque intégral. | Réglage dessus de tête par lacets, fermeture arrière par bande auto-agrippante pour un excellent maintien. | Mise en place très rapide et facile. | Matière : Qualité PU. | Coloris : noir. | Taille unique."
Casque de protection de boxe réglable Sénior MONTANA,"48,00 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29299529.jpg?frz-v=95,Protections Boxe et Arts Martiaux,Casques de Boxe,"Casque intégral extérieur en vinyle, intérieur en cuir pour un maximum de confort. Conforme norme CE....","Casque intégral idéal pour l'entraînement à tous les types de boxe. | Matières : Extérieur en vinyle, intérieur en cuir pour un maximum de confort. | Protection des arcades, des pommettes et du menton. | Fermeture par bande auto-agrippante. | Idéal pour un tour de tête compris entre 55 et 59 cm | Conforme aux normes CE."
Casque de protection de boxe réglable Junior MONTANA,"39,00 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29299527.jpg?frz-v=95,Protections Boxe et Arts Martiaux,Casques de Boxe,"Casque en vinyle expansé avec serrage bande auto-agrippante. Bon champ visuel, idéal pour l'initiation....","Casque avec un bon champ visuel, idéal pour l'initiation. | Matière : vinyle expansé avec serrage avec bande auto-agrippante. | Conforme aux normes CE. | Taille Junior. | Idéal pour un tour de tête compris entre 50 et 55 cm | Conforme aux normes CE."
Protège nez,"125,00 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29457539.jpg?frz-v=95,Protections Boxe et Arts Martiaux,Casques de Boxe,Masque intégral permet de protéger un nez contusionné ou fracturé,Plastique transparent avec rembourrage en mousse autour des zones de la joue et du front. | Aide à protéger et à soutenir le nez blessé. | Courroies élastiques extensibles s'adaptent facilement pour un ajustement parfait.
Protections tibias Montana Karaté et Tae Kwon Do,"15,09 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG54078487.jpg?frz-v=95,Protections Boxe et Arts Martiaux,Protèges jambes et bras Boxe,"2 protections tibias pour l'entraînement au karaté, tae kwondo, et autres sports de frappe avec les tibias.","Un look définitivement moderne. Polyvalent, utilisable à l'entraînement comme en compétition. | Protection pour tibia en mousse recouverte de tissu en coton très confortable et très légères. | Coupe ergonomique enveloppant parfaitement le tibia. | S'enfile comme une chaussette, pour une mise en place simple et rapide. | Poids de la protection : 122 g. | Disponible en différentes tailles. | Tailles: | Junior (6-12 ans). | Senior. | Conforme à la norme CE."
Paire de protège cuisse Métal Boxe,"57,75 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29226939.jpg?frz-v=95,Protections Boxe et Arts Martiaux,Protèges jambes et bras Boxe,"2 protèges cuisses Métal Boxe, idéaux pour protéger vos cuisses des chocs violents lors des combats.",Cette protection de cuisse est adaptée à tous les entraînements intensifs demandant de recevoir des low kicks. | Sa mousse injectée anatomique enveloppe parfaitement vos cuisses. | 3 élastiques et 1 bande auto-agrippante lui assurent un maintien des plus efficaces. | Matière : Mousse injectée - Mousse Eva - Latex | Taille Unique. | Poids : 450 g.
Maintien de poignet Néoprène,"10,69 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29227007.jpg?frz-v=95,Protections Boxe et Arts Martiaux,Protèges jambes et bras Boxe,Maintien de poignet Néoprène stabilise votre poignet et le protège durant vos entrainements,"Maintien de poignet dernière génération permet un maintien optimal pour la pratique sportive. | Protection poignet de main néoprène légere, confortable et ergonomique. | Taille L convient à un adulte"
Starting block trainer Casal Sport,"97,00 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29237916.jpg?frz-v=95,Matériel de Course à pied,Starting Blocks Athlétisme,Starting block trainer très robuste conçu pour une utilisation intensive sur tous types de terrains. Très...,"Modèle très robuste conçu pour une utilisation intensive sur tous types de terrains (pistes synthétiques et cendrées). | Avec rail central à 17 positions (réglage en écart de pieds de 0 à 60 cm). | Inclinaison des patins (hauteur 14 cm) réglable très facilement. | Modèle parfait pour les écoles grâce à sa conception en aluminium, très légère. | Très bon rapport qualité/prix."
Haies trainer Casal Sport,"156,60 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG48946908.jpg?frz-v=95,Matériel de Course à pied,Haies Athlétisme,"Lot de 3 haies trainer Casal Sport, idéal pour l'entraînement aux courses et pour les compétitions.","3 haies d'entraînement et de compétition parfaite pour vos entraînements sportifs et vos compétitions d'athéltisme. | Structure en acier robuste pour une meilleure résistance à la corrosion. | Lattes réglementaires en bois résistantes et traitées. | 5 hauteurs ajustables : de 75 à 107 cm tous les 8cm. | Largeur : 1,2 mètres. | Elles disposent d'un montant en aluminium réglable, très facilement, par simple pression, suivant les normes internationales. | Excellent rapport qualité/prix."
